dataset,group,time,peer,round,accuracy,loss
cifar10,DL,19.023425,0,2,19.010000,2.152876
cifar10,DL,19.023425,0,2,18.920000,2.211299
cifar10,DL,19.023425,0,2,14.730000,2.258820
cifar10,DL,19.023425,0,2,18.890000,2.220918
cifar10,DL,19.023425,0,2,17.090000,2.202597
cifar10,DL,19.023425,0,2,13.800000,2.250964
cifar10,DL,19.023425,0,2,18.750000,2.221916
cifar10,DL,19.023425,0,2,16.560000,2.254803
cifar10,DL,19.023425,0,2,18.230000,2.199446
cifar10,DL,19.023425,0,2,16.910000,2.243677
cifar10,DL,19.023425,0,2,14.210000,2.288055
cifar10,DL,19.023425,0,2,16.100000,2.215272
cifar10,DL,19.023425,0,2,16.260000,2.235080
cifar10,DL,19.023425,0,2,18.480000,2.183913
cifar10,DL,19.023425,0,2,19.860000,2.223139
cifar10,DL,19.023425,0,2,13.040000,2.237455
cifar10,DL,19.023425,0,2,12.410000,2.257321
cifar10,DL,19.023425,0,2,17.370000,2.263497
cifar10,DL,29.126894,0,3,19.620000,2.094331
cifar10,DL,29.126894,0,3,16.020000,2.302342
cifar10,DL,29.126894,0,3,15.620000,2.252852
cifar10,DL,29.126894,0,3,22.630000,2.169611
cifar10,DL,29.126894,0,3,20.700000,2.169783
cifar10,DL,29.126894,0,3,18.490000,2.136264
cifar10,DL,29.126894,0,3,19.200000,2.177782
cifar10,DL,29.126894,0,3,22.020000,2.107772
cifar10,DL,29.126894,0,3,17.200000,2.209161
cifar10,DL,29.126894,0,3,19.410000,2.163190
cifar10,DL,29.126894,0,3,18.670000,2.157251
cifar10,DL,29.126894,0,3,21.770000,2.135677
cifar10,DL,29.126894,0,3,22.380000,2.090542
cifar10,DL,29.126894,0,3,18.760000,2.134189
cifar10,DL,29.126894,0,3,18.640000,2.215754
cifar10,DL,29.126894,0,3,20.300000,2.126286
cifar10,DL,29.126894,0,3,22.200000,2.112805
cifar10,DL,29.126894,0,3,22.620000,2.199536
cifar10,DL,29.126894,0,3,19.150000,2.151392
cifar10,DL,29.126894,0,3,19.190000,2.188241
cifar10,DL,29.126894,0,3,19.320000,2.150108
cifar10,DL,29.126894,0,3,18.200000,2.267764
cifar10,DL,29.126894,0,3,22.440000,2.088149
cifar10,DL,29.126894,0,3,17.270000,2.157888
cifar10,DL,29.126894,0,3,21.670000,2.137719
cifar10,DL,29.126894,0,3,20.470000,2.106563
cifar10,DL,29.126894,0,3,19.350000,2.181512
cifar10,DL,29.126894,0,3,19.160000,2.224456
cifar10,DL,29.126894,0,3,20.700000,2.115842
cifar10,DL,29.126894,0,3,18.780000,2.181747
cifar10,DL,29.126894,0,3,19.780000,2.212561
cifar10,DL,29.126894,0,3,19.060000,2.160185
cifar10,DL,29.126894,0,3,17.550000,2.161402
cifar10,DL,29.126894,0,3,19.640000,2.131898
cifar10,DL,29.126894,0,3,21.130000,2.145022
cifar10,DL,29.126894,0,3,14.500000,2.300256
cifar10,DL,29.126894,0,3,18.430000,2.114008
cifar10,DL,29.126894,0,3,19.250000,2.204224
cifar10,DL,29.126894,0,3,21.900000,2.090581
cifar10,DL,29.126894,0,3,21.090000,2.182504
cifar10,DL,29.126894,0,3,21.850000,2.125933
cifar10,DL,29.126894,0,3,19.130000,2.143836
cifar10,DL,29.126894,0,3,20.280000,2.173283
cifar10,DL,29.126894,0,3,20.560000,2.102065
cifar10,DL,29.126894,0,3,15.460000,2.191867
cifar10,DL,29.126894,0,3,13.710000,2.217815
cifar10,DL,29.126894,0,3,17.700000,2.214751
cifar10,DL,29.126894,0,3,15.110000,2.331354
cifar10,DL,29.126894,0,3,19.410000,2.139478
cifar10,DL,29.126894,0,3,20.550000,2.114674
cifar10,DL,29.126894,0,3,19.350000,2.095038
cifar10,DL,29.126894,0,3,18.780000,2.143201
cifar10,DL,29.126894,0,3,15.140000,2.196926
cifar10,DL,29.126894,0,3,19.120000,2.172457
cifar10,DL,29.126894,0,3,14.220000,2.275316
